"","subids","condition","category_type","order","understand","comments"
"99",13,"active_receptive","rule-based","order1","Yes","was interesting and different"
"100",17,"active_receptive","rule-based","order1","Yes",""
"101",20,"active_receptive","rule-based","order1","Yes","Very fun hit"
"102",22,"active_receptive","rule-based","order1","Yes",""
"103",24,"active_receptive","rule-based","order1","Yes","it was hard, was not able to pick a pattern"
"104",28,"active_receptive","rule-based","order1","Yes",""
"105",30,"active_receptive","rule-based","order1","Yes","I don't like that this required Chrome, you should be able to design this hit to work under Firefox. "
"106",39,"active_receptive","rule-based","order1","Yes","Thank you for the chance to participate. "
"107",41,"active_receptive","rule-based","order1","Yes","I don't see what the point of the HIT was but it was slightly fun to do."
"108",45,"active_receptive","rule-based","order1","Yes","A strange experiment, but I hope you find good data in my results."
"109",49,"active_receptive","rule-based","order1","Yes",""
"110",21,"active_receptive","rule-based","order2","Confused","I had a hard time understanding what the angle meant in my head. I could see the line changing but couldn't make sense of how it related to an antenna. "
"111",27,"active_receptive","rule-based","order2","Confused",""
"112",33,"active_receptive","rule-based","order2","Confused",""
"113",6,"active_receptive","rule-based","order2","Yes",""
"114",16,"active_receptive","rule-based","order2","Yes","interesting"
"115",18,"active_receptive","rule-based","order2","Yes",""
"116",26,"active_receptive","rule-based","order2","Yes",""
"117",32,"active_receptive","rule-based","order2","Yes",""
"118",36,"active_receptive","rule-based","order2","Yes",""
"119",38,"active_receptive","rule-based","order2","Yes","thx"
"120",44,"active_receptive","rule-based","order2","Yes",""
"121",46,"active_receptive","rule-based","order2","Yes","Great game"
"122",50,"active_receptive","rule-based","order2","Yes","I had tried to do this HIT some months ago but for some reason it was frustrating. This time it was actually pleasant. Thanks!"
"123",51,"active_receptive","rule-based","order2","Yes",""
"124",52,"active_receptive","rule-based","order2","Yes","I found this experiment frustrating.  "
"125",13,"receptive","information-integration","order1","Confused",""
"126",82,"receptive","information-integration","order1","Confused",""
"127",1,"receptive","information-integration","order1","Yes",""
"128",3,"receptive","information-integration","order1","Yes","I just couldn't keep track of what was what :("
"129",5,"receptive","information-integration","order1","Yes","Thanks."
"130",6,"receptive","information-integration","order1","Yes",""
"131",19,"receptive","information-integration","order1","Yes",""
"132",56,"receptive","information-integration","order1","Yes",""
"133",75,"receptive","information-integration","order1","Yes",""
"134",101,"receptive","information-integration","order1","Yes",""
"135",125,"receptive","information-integration","order1","Yes",""
"136",170,"receptive","information-integration","order1","Yes",""
"137",104,"receptive","information-integration","order2","Confused","It first seemed you wanted me to just hit the corresponding key for the Channel you gave me. At first I was not even looking at the positions so all my first round guesses were random. By the time I got to Round 2, I already felt like such a failure that I did even worse. I'm sorry!"
"138",109,"receptive","information-integration","order2","Confused","I could not determine if the line or the relation of the circle to the box was the determining factor. "
"139",50,"receptive","information-integration","order2","Yes",""
"140",51,"receptive","information-integration","order2","Yes",""
"141",52,"receptive","information-integration","order2","Yes","very fun!"
"142",90,"receptive","information-integration","order2","Yes","It was very difficult to tell the difference between the 2 channels"
"143",95,"receptive","information-integration","order2","Yes",""
"144",97,"receptive","information-integration","order2","Yes","not a bad hit. Thanks for the opportunity "
"145",106,"receptive","information-integration","order2","Yes","Thanks, would love to do future surveys for you."
"146",126,"receptive","information-integration","order2","Yes",""
"147",134,"receptive","information-integration","order2","Yes","I genuinely tried my best and was surprised at how poorly I performed."
"148",136,"receptive","information-integration","order2","Yes",""
"149",155,"receptive","information-integration","order2","Yes","fun"
"150",164,"receptive","information-integration","order2","Yes",""
"151",166,"receptive","information-integration","order2","Yes",""
"152",176,"receptive","information-integration","order2","Yes",""
"153",191,"receptive","information-integration","order2","Yes","I thought I would have done much better that last round, was kinda tricky."
"154",108,"receptive","rule-based","order1","Confused","It's worth repeating - I was very confused, though I did read the instructions."
"155",154,"receptive","rule-based","order1","Confused","I messed up on the first part.  But then got the hang of it.  Wish I had another try.  Thank you."
"156",179,"receptive","rule-based","order1","Confused",""
"157",22,"receptive","rule-based","order1","No",""
"158",10,"receptive","rule-based","order1","Yes",""
"159",18,"receptive","rule-based","order1","Yes",""
"160",26,"receptive","rule-based","order1","Yes","I was confused on the first set of trials as I was trying to associate the position/angle of the middle line with a channel, but it was clear to me by the second trials that it had to do with the size of the circle instead."
"161",42,"receptive","rule-based","order1","Yes","Sorry my accuracy was so bad, I did genuinely try to figure it out but I couldn't remember a lot of them"
"162",44,"receptive","rule-based","order1","Yes","Great hit, thank you so much."
"163",54,"receptive","rule-based","order1","Yes",""
"164",72,"receptive","rule-based","order1","Yes",""
"165",81,"receptive","rule-based","order1","Yes","I wasn't ready for to be guessing so soon in the first half. I guess my mechanical thinking accounted for the 50%."
"166",131,"receptive","rule-based","order1","Yes","that was interesting, thank you!"
"167",142,"receptive","rule-based","order1","Yes",""
"168",162,"receptive","rule-based","order1","Yes","I think I understood the directions and tried to do it correctly but I just wasn't able to ascertain a pattern to whether an antennae was for channel 1 or 2."
"169",26,"receptive","rule-based","order1","Yes",""
"170",168,"receptive","rule-based","order1","Yes",""
"171",174,"receptive","rule-based","order1","Yes",""
"172",193,"receptive","rule-based","order1","Yes",""
"173",43,"receptive","rule-based","order2","Yes",""
"174",58,"receptive","rule-based","order2","Yes","na"
"175",64,"receptive","rule-based","order2","Yes","It was a little hard at first, but I think I got the hang of it in the second half. :)"
"176",67,"receptive","rule-based","order2","Yes","i think somewhere along the way i messed up and got the channels backwards"
"177",70,"receptive","rule-based","order2","Yes",""
"178",132,"receptive","rule-based","order2","Yes","thanks"
"179",178,"receptive","rule-based","order2","Yes","obviously the crossover from a1 to a2 is the critical measurement. why not just add some division marks to the circle so there was less guessing? the other thing that would help is a direction mark on the line so you have some idea where the antenna was pointing. but you already knew that I guess"
"180",48,"receptive_active","rule-based","order1","Confused","I thought there was supposed to a correlation between the size of the circle and the angle of the line but I couldn't see one so I am not sure I did this correctly. It did seem that the bigger circles were on channel 2 and the smaller ones on channel 1, but the midsize circles were variable, as were the angles."
"181",3,"receptive_active","rule-based","order1","Yes","When I had to adjust the antenna, the Z and X key stopped working. I needed to refresh the page and start all over again."
"182",5,"receptive_active","rule-based","order1","Yes",""
"183",8,"receptive_active","rule-based","order1","Yes",""
"184",10,"receptive_active","rule-based","order1","Yes","HIT went smoothly."
"185",12,"receptive_active","rule-based","order1","Yes",""
"186",14,"receptive_active","rule-based","order1","Yes","Thanks!"
"187",15,"receptive_active","rule-based","order1","Yes","I was a bit confused at first.  I thought the channel was dependent on the angle of the line initially, and I pretty much overlooked size.  So my first part was probably pretty inaccurate.  When I was able to manipulate the antenna on my own, it seemed like the channel was only related to size.  So I think I either totally missed something during the training exercise, or maybe the rules changed?"
"188",19,"receptive_active","rule-based","order1","Yes","interesting and engaging"
"189",23,"receptive_active","rule-based","order1","Yes","I don't think the angle actually mattered."
"190",29,"receptive_active","rule-based","order1","Yes",""
"191",31,"receptive_active","rule-based","order1","Yes","The interactive aspect of creating something and having it judged is pretty cool."
"192",34,"receptive_active","rule-based","order1","Yes","That was fun, thank you."
"193",35,"receptive_active","rule-based","order1","Yes",""
"194",37,"receptive_active","rule-based","order1","Yes",""
"195",40,"receptive_active","rule-based","order1","Yes","It was quite interesting. "
"196",42,"receptive_active","rule-based","order1","Yes",""
"197",43,"receptive_active","rule-based","order1","Yes","Thanks for the opportunity!"
"198",9,"receptive_active","rule-based","order2","Confused","I don't know if this was part of it, but there wasn't a lot of instruction, so I wasn't sure of what I was doing until about halfway through."
"199",1,"receptive_active","rule-based","order2","Yes","Fun, thanks!"
"200",11,"receptive_active","rule-based","order2","Yes",""
"201",25,"receptive_active","rule-based","order2","Yes",""
"202",47,"receptive_active","rule-based","order2","Yes","interesting hit"
"203",46,"yoked","information-integration","order1","Confused",""
"204",62,"yoked","information-integration","order1","Confused","I was confused, but eventually started to see what to do after the first accuracy rating."
"205",2,"yoked","information-integration","order1","Yes","It was a decent HIT. Kind of interesting but hard."
"206",14,"yoked","information-integration","order1","Yes",""
"207",37,"yoked","information-integration","order1","Yes","It was interesting figuring this out, I think I got it right at the end. "
"208",55,"yoked","information-integration","order1","Yes","The second round of the game was more difficult than the first. I would have liked to see the ""key"" to the antennas after finishing, just to see if I had the correct assumptions for guessing."
"209",78,"yoked","information-integration","order1","Yes",""
"210",122,"yoked","information-integration","order1","Yes",""
"211",135,"yoked","information-integration","order1","Yes",""
"212",144,"yoked","information-integration","order1","Yes",""
"213",151,"yoked","information-integration","order1","Yes","Nothing"
"214",157,"yoked","information-integration","order1","Yes","It was fun and interactive, thanks!"
"215",187,"yoked","information-integration","order1","Yes",""
"216",4,"yoked","information-integration","order2","Confused","wtf"
"217",69,"yoked","information-integration","order2","Confused","I was very lost."
"218",171,"yoked","information-integration","order2","Confused",""
"219",41,"yoked","information-integration","order2","Yes",""
"220",45,"yoked","information-integration","order2","Yes","good hit, thanks"
"221",60,"yoked","information-integration","order2","Yes",""
"222",74,"yoked","information-integration","order2","Yes","It was fun and interesting. "
"223",86,"yoked","information-integration","order2","Yes",""
"224",87,"yoked","information-integration","order2","Yes",""
"225",159,"yoked","information-integration","order2","Yes","I understood the instructions, but I didn't fully understand the relation between angle and type of channel. I based most of my guesses on the size relation of each type of channel."
"226",161,"yoked","information-integration","order2","Yes","seemed too difficult for me"
"227",180,"yoked","information-integration","order2","Yes","At first I was confused when selecting ""1"" after a circle was presented and it said ""1"" (or selecting ""2"" with ""2""), but after the first few prompts I picked up on what to do."
"228",113,"yoked","rule-based","order1","Confused","I did not really understand this, but I did my best, nonetheless. "
"229",149,"yoked","rule-based","order1","Confused","I liked that it was different."
"230",25,"yoked","rule-based","order1","No",""
"231",6,"yoked","rule-based","order1","Yes",""
"232",8,"yoked","rule-based","order1","Yes",""
"233",11,"yoked","rule-based","order1","Yes",""
"234",26,"yoked","rule-based","order1","Yes","I was confused on the first set of trials as I was trying to associate the position/angle of the middle line with a channel, but it was clear to me by the second trials that it had to do with the size of the circle instead."
"235",32,"yoked","rule-based","order1","Yes",""
"236",57,"yoked","rule-based","order1","Yes",""
"237",61,"yoked","rule-based","order1","Yes",""
"238",68,"yoked","rule-based","order1","Yes",""
"239",71,"yoked","rule-based","order1","Yes",""
"240",92,"yoked","rule-based","order1","Yes","ty"
"241",93,"yoked","rule-based","order1","Yes","None."
"242",121,"yoked","rule-based","order1","Yes",""
"243",130,"yoked","rule-based","order1","Yes",""
"244",153,"yoked","rule-based","order1","Yes",""
"245",158,"yoked","rule-based","order1","Yes","Interesting."
"246",165,"yoked","rule-based","order1","Yes",""
"247",26,"yoked","rule-based","order1","Yes",""
"248",167,"yoked","rule-based","order1","Yes","Was challenging to remember the antenna without an output device. I am a technician by trade and this was kind of hard but enjoyed it."
"249",175,"yoked","rule-based","order1","Yes","I had a difficult time learning the patterns which is obvious by my results. I tried my best and still went down in accuracy."
"250",182,"yoked","rule-based","order1","Yes",""
"251",188,"yoked","rule-based","order1","Yes","no comments"
"252",189,"yoked","rule-based","order1","Yes","I was confused at first at the part where I supposed to apparently wait a few seconds to be told what the channel was, and then confirm it."
"253",38,"yoked","rule-based","order2","Yes","I thought I did much better than my score."
"254",38,"yoked","rule-based","order2","Yes","this was fun.  Good luck on your study."
"255",77,"yoked","rule-based","order2","Yes","No comments. Thank you."
"256",128,"yoked","rule-based","order2","Yes","It would have been more interesting with more advanced requirements for which channels it would work with."
"257",163,"yoked","rule-based","order2","Yes","It was interesting, thank you."
